,gene_short_name,V515-06187-A1,TNT-50,17-00111-2_S4_cufflinks,TNT-197,TNT-113,TNT-111,TNT-271,TNT-192,TNT-252,17-00113-4_S11_cufflinks,TNT-297
88,SPTLC2,28.7351,168.345,32.5144,20.6077,30.3911,153.029,37.9832,92.5973,69.7546,37.4772,36.4933
89,SRPX,12.4869,3.51456,8.0017,3.03199,1.47954,9.55792,2.86267,12.4008,1.39382,4.32891,2.91066
90,TCF7L1,11.751,8.4502,5.32251,11.6431,33.2491,3.05407,16.9241,4.49596,1.03906,12.1978,11.6125
91,TFAP2B,1.18026,6.84501,1.07807,2.15162,0.0,60.1361,3.51015,30.4718,0.705329,0.300197,0.54202
92,THBS4,8.67223,6.72779,2.12714,10.4635,13.0656,24.2651,10.0297,94.5627,19.072,2.00873,11.2152
93,TNFAIP8,5.97248,16.5976,14.428,34.4778,25.5365,12.6779,31.349,26.2559,152.685,12.079,20.7664
94,TNFSF10,24.8142,21.0228,21.9902,12.9188,45.1035,20.7587,24.6704,58.4692,20.8352,20.4693,18.3052
95,TRIM68,7.67148,2.09031,4.82695,0.0,4.45127,7.69963,4.6321,6.42502,0.917264,2.78882,4.2845
96,TSC22D3,7.24202,16.4595,105.067,12.3722,4.53729,47.5759,10.3469,3.23766,5.53498,6.2024,24.3684
97,UBD,0.0,1.46836,0.0,11.2956,128.718,1.09897,10.8372,6.69419,27.5734,57.6173,1.14499
98,UGT2B28,0.0,0.036528,0.0354788,0.0,0.0,259.096,9.48852,118.359,0.0,0.0,2.27661
99,XBP1,26.3139,53.3026,74.466,68.1152,91.84,180.636,22.5333,91.6678,27.9228,31.089,30.2841
100,ZCCHC24,0.75321,2.49551,3.40631,0.0,0.0,2.02662,0.361983,0.0678474,0.291738,0.503292,1.45124
